sampleID	measurement1	measurement2	measurement3
10-D0AM	31244459.19998972	66240726.21296106	21468915.10541519
10-D10	124971446228.46657	147657087762.4607	58661291490.919235
10-D11	143043915191.2778	215455387258.7452	293199726018.65607
10-D14	72746835530.00653	195094250365.161	69494827730.5755
10-D16	93644844758.60408	116778847248.8908	110718367253.09573
10-D18	57604658958.389206	79849198300.33678	103215068318.63036
10-D1AM	8787440405.903667	15034457656.969501	10812377331.459532
10-D1PM	49758144503.57423	109323703860.9093	112121422711.84898
10-D21AM	130502986978.10454	230374879314.46515	168095797820.3915
10-D21PM	187967460114.66302	195384947867.1706	302999336667.6187
10-D22AM	97459525397.15865	83610873385.77501	116867666912.38698
10-D22PM	44953091758.04084	89373328068.615	80746909001.49536
10-D23AM	31776736531.08501	62190966542.53469	19965360808.410534
10-D23PM	64387754561.79754	110130083918.29807	131946990169.8528
10-D24	71753967749.05775	92923731268.17546	110991350187.97691
10-D25	161542419185.3228	257409482679.2961	288858052198.62964
10-D29AM	170257410309.67072	202570016525.15173	222722460781.86426
10-D29PM	222020633338.73398	446857147004.91003	323145298012.66595
10-D2AM	73858363536.03934	121884763804.29846	153688988537.3757
10-D2PM	134498564739.39969	148701622943.51364	183286745796.24268
10-D30AM	149641930885.95038	302850986505.68945	311775341912.07874
10-D30PM	350208242988.2924	528188627977.7077	394284680456.8521
10-D31AM	390754810531.30096	189299416171.52304	359232401397.28827
10-D31PM	129152913122.57391	251326988905.26038	147992330401.39252
10-D32	495791896583.0835	512647036393.9931	272152058373.93005
10-D33	286801621964.0265	267185339071.3523	208354106250.0157
10-D35AM	349491308254.8291	235032841126.87628	415952609099.2372
10-D35PM	522252912507.9998	215089779815.95633	659377817549.5385
10-D36AM	132201965152.93654	58854866903.050385	186682391232.40604
10-D36PM	140876564510.4757	247516157968.59045	166281536561.178
10-D37AM	165043478391.6079	72975534475.63298	149522304289.59253
10-D37PM	1085912648177.4677	2019930187538.7402	2649231668720.283
10-D38	68891172293.80853	64687738206.55751	84969329855.513
10-D39	47605005867.10419	96272432963.11835	72424731679.9673
10-D3AM	24466886723.56548	35589986699.93273	32560915392.929825
10-D3PM	129136185227.61105	130630228824.94199	82982897306.17796
10-D42AM	59262492409.786514	49634039498.326	48720917739.67468
10-D42PM	30357673195.776546	36992498187.68447	48225640730.37575
10-D43AM	38763462633.90739	36416100619.29574	57808056012.07594
10-D43PM	54523382484.48149	29587640550.642754	41787381183.42681
10-D44AM	45099840901.32057	47835250424.08059	24911898447.970367
10-D44PM	28364496431.707035	51586816497.96305	47423406084.65744
10-D45AM	40224320827.01903	38683869633.21994	56338443423.42324
10-D45PM	14397264598.411978	40514421315.86794	36843020276.770805
10-D46	12639740592.14081	27104862942.408096	26493263214.59202
10-D47	20965239914.087612	38035727774.719444	39270497080.66137
10-D4AM	38545186769.58088	42397507342.39564	67740468784.28386
10-D4PM	35408038145.45117	49415783808.622955	66338830307.49818
10-D5	14261652848.726765	11146950372.815657	21264931634.302692
10-D50AM	38795232057.40025	62218563887.71144	29660248020.09283
10-D50PM	31298115469.86939	42528431805.695	49924756743.76503
10-D51AM	50156234549.25975	53234723274.2328	96632451807.52856
10-D51PM	56382440055.48462	31773865061.46932	43346659442.97905
10-D52AM	60959770593.257355	85621241392.35379	113276222309.87465
10-D52PM	103797513549.45615	60196304368.9803	90217695716.21361
10-D53	65839333748.242805	83715726749.75504	96306705376.92345
10-D54	20087568483.64436	34169595737.725437	39792549028.35815
10-D57AM	61724841877.91769	71979481239.5733	89278449267.79904
10-D57PM	169939938265.66998	309800255466.20245	285168299069.19714
10-D58AM	25185232406.376392	45924525603.4374	30081529492.194645
10-D58PM	11244261885.485876	21830862266.406708	22016044183.68334
10-D59AM	108480084184.05864	123229043429.91315	209260750245.76883
10-D59PM	20396402076.869877	22979243260.70807	33605365447.021248
10-D6	50172004756.9826	87334557808.33078	89720928565.93893
10-D60AM	38276606070.769	119011560038.54596	49011311012.62716
10-D60PM	28877560618.10668	40813022902.566055	41583989753.48748
10-D61	176191826346.9562	214194259520.0606	293990095520.19525
10-D62	190038463801.92007	149598537015.0857	207695979240.7835
10-D63	142204370965.84348	397300901756.4903	303322520374.0616
10-D64AM	69409878379.49117	171641490161.66025	211018608103.99896
10-D64PM	169001891646.09726	130647466879.635	102151084107.77383
10-D7	301360479007.33813	114643473652.03009	345134905757.6017
10-D8	185384119733.05276	272906327865.49472	227370173390.08514
10-D9	174139026605.97095	107588132439.44908	129320936983.619
6-D0AM	7090394.459211661	19063531.231306672	9145011.966100052
6-D0PM	27493632355.99209	38249805024.67929	46841199846.74081
6-D10	96952911341.46918	160300048733.77628	203962003445.95883
6-D11	155156779404.6989	212049462985.997	248603667327.46188
6-D14	55784726914.28343	86154082443.94865	90212800163.47514
6-D16	102541803008.36444	177242747513.51227	192664438281.27383
6-D18	31844897344.08896	86300076771.27322	56344759453.293526
6-D1AM	4336746535.431503	8576650934.556792	6635881279.361365
6-D1PM	1061309422.1463583	1615512073.3397746	2267917333.2788353
6-D21AM	61917558336.97726	90968995812.63942	115114472044.00592
6-D21PM	46436049645.06884	79123613055.11061	96837439929.13936
6-D22AM	52548011253.20244	52099157715.39246	88302560823.59647
6-D22PM	72883367437.70839	108269081674.60516	168688747967.09836
6-D23AM	32570603739.361633	45522091843.52968	38893188875.698135
6-D23PM	64763882937.223114	130558212869.59776	149139576096.9925
6-D24	53584854196.05637	103108800054.79478	127507127116.78773
6-D25	134893155484.75032	253831136097.3626	214417537970.43417
6-D28AM	114816803324.29756	173533596449.8688	153200635918.7931
6-D28PM	291283678721.64276	313482913680.8099	391597335638.8822
6-D29AM	216363792156.89774	361169364311.1188	415200918738.5298
6-D29PM	94694749505.24184	133314522014.53432	91163944664.7262
6-D2AM	35124328279.935905	34232580070.034176	38321841099.36255
6-D2PM	14130758434.72047	26593969831.8713	25543020456.55517
6-D30AM	402326582701.1736	375467102734.97125	318081285530.8292
6-D30PM	129535105985.11076	234510311237.5579	233703562820.67175
6-D31AM	170507674018.25235	259616337495.3822	256369780838.8803
6-D31PM	334124582718.62695	448551408139.9261	446745457682.45844
6-D32	60861993764.665405	80274577704.90143	77937924884.88441
6-D33	104633651688.43083	120212460752.65828	169043282949.99915
6-D35AM	84094744527.62207	162840639575.79434	89871969051.32654
6-D35PM	50363094942.22737	77086508867.10034	111084105358.93549
6-D36AM	413804253723.50885	469485391818.7821	504021571240.12213
6-D36PM	548357173501.7396	718175396030.9941	1003933365208.5507
6-D37AM	82828645068.23656	172076227423.86703	128257528728.10283
6-D37PM	41455204453.12918	89565189390.97058	94052644136.7645
6-D38	51966160036.52678	33456145116.494175	74807182657.50807
6-D39	32871937625.74161	44089321824.2341	42088802895.90772
6-D3AM	24635347552.325977	33921004416.142315	61128051102.839
6-D3PM	22434193428.87504	55110056016.848976	54778890935.16323
6-D42AM	58343502432.97373	76560719401.77443	112535789376.3908
6-D42PM	24987660528.51773	46046427233.58144	47449079881.20731
6-D43AM	63366942198.73186	57157841945.42836	91595088066.02357
6-D43PM	13412698455.046017	23469134419.093243	23223784244.814278
6-D44AM	14100478234.342848	7971999017.815242	12556029185.157398
6-D44PM	50504848306.95611	74641049162.32489	97721002142.09918
6-D45AM	8113538696.780622	12955534937.987146	19415982650.50175
6-D45PM	11511957960.8275	22438696581.658703	27667808233.120327
6-D46	10188650126.844734	16447974217.657232	19054448250.544624
6-D47	16293313654.044058	9045748167.124609	20774197540.246758
6-D4AM	58849849267.46277	65810748033.003426	92851525803.99423
6-D4PM	137162401791.10262	81687811876.03513	144509237172.43164
6-D5	27303821391.01681	12184844723.60392	28927129233.43727
6-D50AM	29029424105.633987	45389378094.73734	54221289947.91328
6-D50PM	10850491838.701418	21951462868.05782	24474711272.346287
6-D51AM	24396696081.611687	15740545546.98759	21519797371.499893
6-D51PM	60468879193.076164	20227294896.869816	60826339011.736725
6-D52AM	18840054639.092968	26664468128.14881	22220072482.226337
6-D52PM	13386954900.123487	27103756492.25391	36099320039.15343
6-D53	36774941506.25212	50782400625.386246	64507795870.31841
6-D54	6954557943.320569	8248168007.551917	16315421910.591515
6-D57AM	56322125935.006	115851976490.21255	131827763905.36938
6-D57PM	61474766317.68362	93890804505.90302	84715236950.52559
6-D58AM	20664572982.96163	40819905502.40989	55576436686.27172
6-D58PM	56073086025.38976	98459361739.5358	88782640258.09929
6-D59AM	15496830327.468452	29525037337.916374	36856263872.901505
6-D59PM	15705573203.328962	22520114923.49881	24789440418.338493
6-D6	27700214651.329723	61855275603.11278	30358145759.08902
6-D60AM	31121911262.759563	44384368361.96029	45557376465.46744
6-D60PM	32320165279.61739	44826803605.7326	44270489671.17111
6-D61	39407667716.68813	68633425814.99687	81002362757.59024
6-D62	119672054814.6198	161756804209.3595	94161559521.23363
6-D63	23835105474.66349	73943646248.55869	71845770797.36526
6-D64AM	33263030277.095444	68596276281.36344	81900160386.86708
6-D64PM	74998626063.08281	19140287010.776627	64566416496.56591
6-D7	74566910037.30484	120366794784.21347	110955973381.13797
6-D8	43481725815.186844	105112850463.2471	103570976636.7579
6-D9	122774266497.32712	230273188508.14667	160132809765.88388
7-D0AM	20983963.19043123	31457269.556771174	29095617.260647785
7-D0PM	8180634658.688495	8757252391.768679	12953320354.289536
7-D10	164848974661.6797	189196259744.07492	204406082511.92245
7-D11	40002906868.143394	62040483303.11127	97420270739.62181
7-D14	59225864311.662575	101071120519.54886	108485852373.04391
7-D16	59084388484.55477	125641144702.59203	85201095119.24454
7-D18	65079245823.33707	113535454543.69691	134382046212.66862
7-D1AM	48199686569.80169	52602905288.93632	60759581869.10533
7-D1PM	197296004849.2924	273620617683.3656	184872533308.85168
7-D21AM	164917770233.4731	168763056859.36414	221016777409.75568
7-D21PM	66276337571.765305	83005266560.64853	165661271729.57352
7-D22AM	65418585561.24992	139471508699.2275	123566854646.33456
7-D22PM	58575398354.23414	77546483007.13406	81741737042.27959
7-D23AM	141898279328.00967	188043153796.9129	258180300890.59644
7-D23PM	68284663287.540886	139726948382.67157	133306989118.40813
7-D24	98615455170.88074	131151872695.01567	141754766268.03497
7-D25	155712734175.09338	219057341233.1214	191444686734.6186
7-D28AM	52887478224.51515	129634355465.2359	38321319707.120735
7-D28PM	422821101714.0348	599327337592.4354	536734358566.5784
7-D29AM	225328482269.0084	442155826040.3837	567324597785.6803
7-D29PM	265324296711.94125	215679763578.09424	366862173206.0345
7-D2AM	2589441110.643521	3623034953.927827	3280450864.4269314
7-D2PM	19829603236.898304	31531182217.156235	42241006433.13333
7-D30AM	77971027675.9811	173284368483.66312	300788622557.1934
7-D30PM	171511385630.10684	143209334343.54944	191643118091.3614
7-D31AM	471532462784.57465	458085798320.0707	290862981355.4945
7-D31PM	649951840207.0673	918999931636.7471	898903378393.85
7-D32	229145571186.5646	265161784854.91147	160451864437.7604
7-D33	141008446492.93414	152483241613.50574	204980099727.96213
7-D35AM	119884735667.87013	190311484940.6183	229476142100.4284
7-D35PM	11395789800.134233	23796549363.920498	28405470591.75566
7-D36AM	233063732961.14767	243116268667.01505	331900800335.4623
7-D36PM	406873758004.3839	352145252892.5644	563391838926.4623
7-D37AM	118031723302.13441	74461807757.74326	95835049731.98431
7-D37PM	52444114751.81044	111536940144.53436	115216133310.80688
7-D38	35148008267.93176	44228010454.16131	64438171663.6356
7-D39	55409646423.448944	99368190765.5695	116256586349.09128
7-D3AM	10946482311.09656	21746698510.260727	18981141709.782627
7-D3PM	19361509194.19013	32039708437.1781	54491267308.9555
7-D42AM	62647045024.063095	150527394055.7046	71035753966.05722
7-D42PM	27680907007.048523	47807297244.12583	73291822019.2764
7-D43AM	38708480216.97928	36452479462.008514	62408470384.767624
7-D43PM	5772606103.200688	13989814412.266323	18098434322.126328
7-D44AM	28819777221.602135	40823752485.45365	43374834693.302086
7-D44PM	23325117304.710613	20428184296.906563	48888218328.557526
7-D45AM	21752596427.041763	19336210408.96854	29981047322.178425
7-D45PM	25747284666.187435	16301997692.929676	29677582904.04988
7-D46	9351300900.981024	16881905730.871567	22862167536.605118
7-D47	16894798330.22737	46962118331.67065	25426277171.400387
7-D4AM	23195960348.81296	21689526552.117905	28181795762.070908
7-D4PM	32867311337.640526	48800697380.78929	59786242756.64661
7-D5	54869398392.19179	63435443132.166885	89981573217.29617
7-D50AM	35978763068.902016	44266676277.05503	62475816369.73757
7-D50PM	21117068027.79852	74162360500.82906	31596212667.359562
7-D51AM	17823621872.251274	25780550052.189552	36258775498.49555
7-D51PM	64333079040.37173	58942732716.1006	52614346930.67371
7-D52AM	32957824425.55155	142994452041.35403	40583422152.804695
7-D52PM	22527038570.147675	52511364672.949455	58870620278.29826
7-D53	46761489268.11979	59700862826.44245	21169451917.62546
7-D54	17236937188.852856	30209629376.467537	37057172593.86024
7-D57AM	119578520352.17027	186620497328.83878	301739557712.8964
7-D58AM	79260815797.4774	140889616217.4186	137086899569.12512
7-D58PM	35391752767.63267	48767456132.9961	52327113454.21207
7-D59AM	35657318343.811584	55885638421.83849	57785845699.39603
7-D59PM	68089272866.68343	36322686681.01596	74336115138.07213
7-D6	61296626359.18083	114103017845.67278	76228502754.41454
7-D60AM	68859178682.47682	53518253903.806755	91034045957.69177
7-D60PM	87810002498.20709	91695090205.89531	125735649153.79636
7-D61	20943034678.70955	36547018209.13866	44416045487.48986
7-D62	22572226670.901016	39232447793.9489	57687116474.75283
7-D63	71936082041.47408	128007331830.71559	127772906537.58514
7-D64AM	5148949149.001282	12051852491.808401	11359829666.044086
7-D64PM	88671239199.41978	90156933342.07414	131925982969.74928
7-D7	159961120730.7829	68970229950.87744	126490528660.71974
7-D8	141699096262.60852	249270084581.09375	182027358910.57364
7-D9	53169131145.6187	35603991815.04275	130319379556.56793
8-D0AM	4590851.225968285	14729517.172592508	6405129.508864439
8-D0PM	12234076335.487701	13780188157.719076	20840518508.789165
8-D10	51884984948.4248	72719119013.42345	82459501896.11261
8-D11	150530264362.36737	326310286094.9635	103722959157.37166
8-D14	56748995713.15076	123124804264.76698	121139826885.06613
8-D16	69228697300.51219	39944842119.550446	55614083413.115036
8-D18	123294431770.77304	216928200084.3852	229218746586.36176
8-D1AM	21186229587.39542	30204752930.609123	21084846692.47214
8-D1PM	13696853823.690866	27147436265.803802	36969086015.73219
8-D21AM	27809687569.551537	51362341480.81167	36217137933.53549
8-D21PM	543815429323.57983	376386096816.4292	588291269110.0029
8-D22AM	115771055654.33047	165339937979.39972	149086894041.9884
8-D22PM	85183281864.68857	58290892567.34128	82189779627.6718
8-D23AM	51587884127.15867	80080696329.72089	56185487895.608765
8-D23PM	59140971374.01158	115338120259.03293	128103178790.36227
8-D24	128054188104.44962	203474523518.27783	214224908044.3366
8-D25	195480723076.85468	385784088851.42566	128984256495.13942
8-D28AM	89769314089.37866	35944874994.21601	69937578973.87161
8-D28PM	554069281078.3733	488570111568.5593	467767975858.0594
8-D29AM	273437349738.54016	396561071841.30725	200319827870.88376
8-D29PM	129716632398.674	58087476433.76512	129522074596.13301
8-D2AM	53110678752.539406	81419519241.03737	44971900034.71991
8-D2PM	23008658615.761665	24764147524.19814	34809785730.10709
8-D30AM	167929937292.13104	262269965433.00864	289473278712.8302
8-D30PM	47294517231.6808	124461392109.58292	112367572937.56943
8-D31AM	418963503320.68384	576162876670.0687	595768755824.1321
8-D31PM	417397100190.05133	391183289432.88983	366615099123.276
8-D32	6331310995.344947	11098058221.637436	5219041483.287893
8-D33	40724840397.11079	45141389614.56644	43864313922.623314
8-D35AM	140037241062.26016	170920055698.28833	220106681551.08954
8-D35PM	83695111093.49239	111256886192.65886	154561505254.30447
8-D36AM	116579472091.35156	138432374831.0776	192525428309.11697
8-D36PM	193156453021.1294	305051289570.5799	246533464058.71024
8-D37AM	49775639399.70537	110662692473.38927	47915056520.13041
8-D37PM	49268067090.83124	40794676937.785065	90021094957.55095
8-D38	99981890984.50014	43866089832.66437	107105288821.99629
8-D39	88990049133.09729	130777463546.72136	128533073787.17014
8-D3AM	30176078096.60878	31010144795.66555	56118006311.13076
8-D3PM	6044545437.871952	11492310348.320284	14639425692.9983
8-D42AM	76393644045.0135	75375975497.349	47131022586.46256
8-D42PM	27482292386.82983	33089165614.277866	48212430540.4523
8-D43AM	16199577653.667772	16158154322.25533	31498002319.42553
8-D43PM	17660560097.746525	15364304584.595823	4014851754.2072644
8-D44AM	25437554384.57969	44011316884.41257	48999043813.188965
8-D44PM	32387571825.95812	10991034411.096714	29251434411.725567
8-D45AM	13135005745.951761	9833450257.796839	17517772387.188557
8-D45PM	48794259320.18735	60667426025.75583	56147147983.84764
8-D46	13309132590.01928	7494205774.434775	13381107822.090761
8-D47	31652077153.655724	37082552481.10861	29707309306.07558
8-D4AM	21629751804.884636	27447934413.99358	33763761830.811497
8-D4PM	24215888604.327015	39092089685.88263	52092437390.08456
8-D5	12661649823.862043	21244111328.76815	28003942280.828503
8-D50AM	34226815803.75817	50521912007.42565	78129917576.93085
8-D50PM	47838251708.9684	35427738889.44367	50549238467.54143
8-D51AM	29130141628.725754	35149468386.45007	47823824239.5765
8-D51PM	70095829118.0824	86280519277.45421	38537018246.983
8-D52AM	61493065605.22886	89195628411.59073	109991649916.48094
8-D52PM	42247733500.07445	120773900446.96974	30921034905.722324
8-D53	19177377549.58559	35123286171.02482	17067926733.385824
8-D54	13360597013.165504	31830932273.457066	21852649608.235046
8-D57AM	69839661692.43083	117907156708.68294	152093549406.74777
8-D57PM	25377493858.11298	28353930830.823643	40991058938.38284
8-D58AM	36771022576.860794	46828406813.73252	41969841320.665726
8-D58PM	115331855718.3004	65110381614.14561	152757546877.43414
8-D59AM	86404583812.83067	75331883526.36687	104298304993.12946
8-D59PM	109028332752.39877	61628688858.52577	113470641858.23697
8-D6	33342670053.825054	49075680818.430984	71438024268.22495
8-D60AM	37904888259.68494	64343474826.12257	53302371514.67126
8-D60PM	144032649262.6791	163947257279.9531	71523669187.93755
8-D61	80764354790.4922	58480758692.87923	35262285042.06456
8-D62	71188028020.741	34973897499.300095	62152967010.545204
8-D63	24931459935.185165	51934617487.26663	59225563495.692604
8-D64AM	39199863671.20103	19117036050.28204	43320360925.89266
8-D64PM	70260896517.34093	137247493566.7203	155329482720.77716
8-D7	50021451878.2537	83056844696.9857	49135016051.16953
8-D8	95918033044.46893	204097700229.2666	57442604871.64629
8-D9	46438410405.457	60341607449.314095	97551920419.66093
9-D0AM	7158224.750443062	21449824.459478863	7026214.740282826
9-D0PM	3658018012.233915	4401767026.0163765	6461105215.63932
9-D10	49712731303.41693	44487103665.38674	93677701388.94266
9-D11	113883854922.35916	165061713118.07935	172115819542.88602
9-D14	34610659773.19139	68176888383.521774	57735749474.7951
9-D16	190138405945.528	380738445081.46045	384925571597.91754
9-D18	58489319511.176384	33534528846.18321	51178019434.843895
9-D1AM	10219591800.630262	17298510993.80043	15135030124.442701
9-D1PM	30688485795.359253	75944511633.95216	67745485625.7993
9-D21AM	20259352852.794586	49512832532.537254	61927375164.26512
9-D21PM	36600111750.13019	41683959136.728546	83863119329.91309
9-D22AM	142925558600.9331	115312626161.36383	190845683342.8289
9-D22PM	135497369385.97693	197380273642.136	236880701033.76843
9-D23AM	85655636034.03227	140827099845.51132	122218590991.03355
9-D23PM	55596892659.88456	43099394998.418045	65319829110.15181
9-D24	312925015886.26245	333915062336.2971	415706413625.74164
9-D25	139077192446.47067	244608967324.43777	161727470015.44016
9-D28AM	90053067330.82362	178896137959.1424	174377172811.09778
9-D28PM	535225254406.9572	260644391139.55627	637507646630.8115
9-D29AM	290041789141.00525	491864610125.8333	495258045296.0531
9-D29PM	395362169165.04193	133900824496.76552	311652522456.7345
9-D2AM	91510931387.80513	84931839697.7083	137930620343.7856
9-D2PM	106107139752.50247	140716599955.81827	150574862186.67496
9-D30AM	108921202465.68953	224113332808.5777	300428658825.8318
9-D30PM	552931724965.8204	749672357025.2657	889904898583.7555
9-D31AM	285466584544.59937	483258808074.13715	477242305950.11865
9-D31PM	403045690768.7133	376389311988.04346	558644049077.5985
9-D32	284133165348.352	263516642988.0862	93215746101.29955
9-D33	2423656824.2983847	3265885035.7990813	3454461016.3599186
9-D35AM	184617090212.553	238247720917.93066	257038697058.90445
9-D35PM	335733985878.2122	268954025762.8505	273822063132.42844
9-D36AM	57195845593.12378	52098113607.04134	77019924373.80455
9-D36PM	55139414234.59222	56861408156.99727	67346171356.50876
9-D37AM	57766274044.12654	89741797788.07335	91742354939.63448
9-D37PM	148114604313.41385	49292610081.52576	142628048734.39645
9-D38	47962804976.53297	65648298109.243546	78066231662.3748
9-D39	100136144037.40175	67961133717.26084	102204704880.76703
9-D3AM	23402444636.650265	55408687039.709984	4816661.298286995
9-D3PM	29458061286.53433	73134183764.79709	40253319006.793274
9-D42AM	88498792687.73439	44950938141.74945	85958279116.68446
9-D42PM	19426491104.244495	41398805389.51699	36711865368.976
9-D43AM	29661145688.985455	31134115726.097218	58493770123.638466
9-D43PM	23288214495.184933	30586446536.874493	20798124393.337128
9-D44AM	14054047370.360065	25220714278.959435	42609024465.33494
9-D44PM	37537364961.56044	65040376925.83445	40292213014.97001
9-D45AM	10283087771.592005	13256480521.68097	18179893823.881954
9-D45PM	20368268664.948875	33629914057.640102	38972265346.33865
9-D46	15126982476.649038	45020119589.50447	11823193177.625484
9-D47	29466032112.18554	41644976282.07358	46492955874.93719
9-D4AM	149413905920.4737	302446539338.0063	311674936139.795
9-D4PM	18012148690.081562	30228639546.848793	34388131949.57263
9-D5	30734333983.709343	33549094666.639652	38046880203.1122
9-D50AM	11566747466.714	24702901792.285187	37372246439.554924
9-D50PM	109595747932.97668	55216647820.13542	109825076714.02385
9-D51AM	26906727149.690166	27640086843.852337	37902643718.38274
9-D51PM	30761180414.233044	17545391326.468758	32112390139.509094
9-D52AM	27485086898.89143	66390556294.63239	92554718051.7722
9-D52PM	25831809925.910156	48763815025.97342	45343535321.867256
9-D53	43507096703.29777	29496746468.553608	65783529004.72175
9-D54	18260951105.811985	41187383003.90956	19004565978.349957
9-D57AM	54291035862.54283	61176708091.82076	100158709669.75485
9-D57PM	43595265606.877174	59436004259.09936	65480808037.07433
9-D58AM	79327186796.43239	123661472719.94453	110202692747.68498
9-D58PM	90169261607.30396	188211482267.91663	175440912464.65042
9-D59AM	233469413098.00775	419108034371.44977	517257788554.8112
9-D59PM	37660301256.427666	49081483893.60195	54668725438.72374
9-D6	15905122488.2172	34012866726.796547	31215795076.645775
9-D60AM	25129291236.366646	40207924468.07421	28553968934.582077
9-D60PM	51081856131.02402	70308806930.14221	72828511293.51366
9-D61	19593574400.745785	36556826497.27743	14135261662.83297
9-D62	61308994550.396454	72297899161.64317	81595279033.86652
9-D63	78681462015.3667	130023486107.79893	133458183204.8474
9-D64AM	117222857932.2446	106131302702.25932	123916245213.55492
9-D64PM	74201356754.30878	141438695999.35675	71974468747.65948
9-D7	64644365068.27256	115208660497.47963	53596686887.42162
9-D8	44197812061.081406	94556379048.02223	93106055855.15204
9-D9	108596993343.11539	124797859755.00049	137879692263.36206
inoculum-6-10
M2-D10-1A	41290040113.68631	64235676191.78477	83845565730.19032
M2-D10-1B	41290040113.68631	64235676191.78477	83845565730.19032
M2-D10-2A	41290040113.68631	64235676191.78477	83845565730.19032
M2-D10-2B	41290040113.68631	64235676191.78477	83845565730.19032
M2-D10-3A	41290040113.68631	64235676191.78477	83845565730.19032
M2-D10-3B	41290040113.68631	64235676191.78477	83845565730.19032
M2-D8-1A	131202753593.84557	202878593797.37805	111401605701.7027
M2-D8-1B	131202753593.84557	202878593797.37805	111401605701.7027
M2-D8-2A	131202753593.84557	202878593797.37805	111401605701.7027
M2-D8-2B	131202753593.84557	202878593797.37805	111401605701.7027
M2-D8-3A	131202753593.84557	202878593797.37805	111401605701.7027
M2-D8-3B	131202753593.84557	202878593797.37805	111401605701.7027
M2-D9-1A	59563252958.998726	136371020165.87459	127689214381.69353
M2-D9-1B	59563252958.998726	136371020165.87459	127689214381.69353
M2-D9-2A	59563252958.998726	136371020165.87459	127689214381.69353
M2-D9-2B	59563252958.998726	136371020165.87459	127689214381.69353
M2-D9-3A	59563252958.998726	136371020165.87459	127689214381.69353
M2-D9-3B	59563252958.998726	136371020165.87459	127689214381.69353