GH1,Glycoside Hydrolase Family 1
GH2,Glycoside Hydrolase Family 2
GH3,Glycoside Hydrolase Family 3
GH4,Glycoside Hydrolase Family 4
GH5,Glycoside Hydrolase Family 5
GH6,Glycoside Hydrolase Family 6
GH7,Glycoside Hydrolase Family 7
GH8,Glycoside Hydrolase Family 8
GH9,Glycoside Hydrolase Family 9
GH10,Glycoside Hydrolase Family 10
GH11,Glycoside Hydrolase Family 11
GH12,Glycoside Hydrolase Family 12
GH13,Glycoside Hydrolase Family 13
GH14,Glycoside Hydrolase Family 14
GH15,Glycoside Hydrolase Family 15
GH16,Glycoside Hydrolase Family 16
GH17,Glycoside Hydrolase Family 17
GH18,Glycoside Hydrolase Family 18
GH19,Glycoside Hydrolase Family 19
GH20,Glycoside Hydrolase Family 20
GH21,Glycoside Hydrolase Family 21
GH22,Glycoside Hydrolase Family 22
GH23,Glycoside Hydrolase Family 23
GH24,Glycoside Hydrolase Family 24
GH25,Glycoside Hydrolase Family 25
GH26,Glycoside Hydrolase Family 26
GH27,Glycoside Hydrolase Family 27
GH28,Glycoside Hydrolase Family 28
GH29,Glycoside Hydrolase Family 29
GH30,Glycoside Hydrolase Family 30
GH31,Glycoside Hydrolase Family 31
GH32,Glycoside Hydrolase Family 32
GH33,Glycoside Hydrolase Family 33
GH34,Glycoside Hydrolase Family 34
GH35,Glycoside Hydrolase Family 35
GH36,Glycoside Hydrolase Family 36
GH37,Glycoside Hydrolase Family 37
GH38,Glycoside Hydrolase Family 38
GH39,Glycoside Hydrolase Family 39
GH40,Glycoside Hydrolase Family 40
GH41,Glycoside Hydrolase Family 41
GH42,Glycoside Hydrolase Family 42
GH43,Glycoside Hydrolase Family 43
GH44,Glycoside Hydrolase Family 44
GH45,Glycoside Hydrolase Family 45
GH46,Glycoside Hydrolase Family 46
GH47,Glycoside Hydrolase Family 47
GH48,Glycoside Hydrolase Family 48
GH49,Glycoside Hydrolase Family 49
GH50,Glycoside Hydrolase Family 50
GH51,Glycoside Hydrolase Family 51
GH52,Glycoside Hydrolase Family 52
GH53,Glycoside Hydrolase Family 53
GH54,Glycoside Hydrolase Family 54
GH55,Glycoside Hydrolase Family 55
GH56,Glycoside Hydrolase Family 56
GH57,Glycoside Hydrolase Family 57
GH58,Glycoside Hydrolase Family 58
GH59,Glycoside Hydrolase Family 59
GH60,Glycoside Hydrolase Family 60
GH61,Glycoside Hydrolase Family 61
GH62,Glycoside Hydrolase Family 62
GH63,Glycoside Hydrolase Family 63
GH64,Glycoside Hydrolase Family 64
GH65,Glycoside Hydrolase Family 65
GH66,Glycoside Hydrolase Family 66
GH67,Glycoside Hydrolase Family 67
GH68,Glycoside Hydrolase Family 68
GH69,Glycoside Hydrolase Family 69
GH70,Glycoside Hydrolase Family 70
GH71,Glycoside Hydrolase Family 71
GH72,Glycoside Hydrolase Family 72
GH73,Glycoside Hydrolase Family 73
GH74,Glycoside Hydrolase Family 74
GH75,Glycoside Hydrolase Family 75
GH76,Glycoside Hydrolase Family 76
GH77,Glycoside Hydrolase Family 77
GH78,Glycoside Hydrolase Family 78
GH79,Glycoside Hydrolase Family 79
GH80,Glycoside Hydrolase Family 80
GH81,Glycoside Hydrolase Family 81
GH82,Glycoside Hydrolase Family 82
GH83,Glycoside Hydrolase Family 83
GH84,Glycoside Hydrolase Family 84
GH85,Glycoside Hydrolase Family 85
GH86,Glycoside Hydrolase Family 86
GH87,Glycoside Hydrolase Family 87
GH88,Glycoside Hydrolase Family 88
GH89,Glycoside Hydrolase Family 89
GH90,Glycoside Hydrolase Family 90
GH91,Glycoside Hydrolase Family 91
GH92,Glycoside Hydrolase Family 92
GH93,Glycoside Hydrolase Family 93
GH94,Glycoside Hydrolase Family 94
GH95,Glycoside Hydrolase Family 95
GH96,Glycoside Hydrolase Family 96
GH97,Glycoside Hydrolase Family 97
GH98,Glycoside Hydrolase Family 98
GH99,Glycoside Hydrolase Family 99
GH100,Glycoside Hydrolase Family 100
GH101,Glycoside Hydrolase Family 101
GH102,Glycoside Hydrolase Family 102
GH103,Glycoside Hydrolase Family 103
GH104,Glycoside Hydrolase Family 104
GH105,Glycoside Hydrolase Family 105
GH106,Glycoside Hydrolase Family 106
GH107,Glycoside Hydrolase Family 107
GH108,Glycoside Hydrolase Family 108
GH109,Glycoside Hydrolase Family 109
GH110,Glycoside Hydrolase Family 110
GH111,Glycoside Hydrolase Family 111
GH112,Glycoside Hydrolase Family 112
GH113,Glycoside Hydrolase Family 113
GH114,Glycoside Hydrolase Family 114
GH115,Glycoside Hydrolase Family 115
GH116,Glycoside Hydrolase Family 116
GH117,Glycoside Hydrolase Family 117
GH118,Glycoside Hydrolase Family 118
GH119,Glycoside Hydrolase Family 119
GH120,Glycoside Hydrolase Family 120
GH121,Glycoside Hydrolase Family 121
GH122,Glycoside Hydrolase Family 122
GH123,Glycoside Hydrolase Family 123
GH124,Glycoside Hydrolase Family 124
GH125,Glycoside Hydrolase Family 125
GH126,Glycoside Hydrolase Family 126
GH127,Glycoside Hydrolase Family 127
GH128,Glycoside Hydrolase Family 128
GH129,Glycoside Hydrolase Family 129
GH130,Glycoside Hydrolase Family 130
GH131,Glycoside Hydrolase Family 131
GH132,Glycoside Hydrolase Family 132
GH133,Glycoside Hydrolase Family 133
GH134,Glycoside Hydrolase Family 134
GH135,Glycoside Hydrolase Family 135
GH136,Glycoside Hydrolase Family 136
GH137,Glycoside Hydrolase Family 137
GH138,Glycoside Hydrolase Family 138
GH139,Glycoside Hydrolase Family 139
GH140,Glycoside Hydrolase Family 140
GH141,Glycoside Hydrolase Family 141
GH142,Glycoside Hydrolase Family 142
GH143,Glycoside Hydrolase Family 143
GH144,Glycoside Hydrolase Family 144
GH145,Glycoside Hydrolase Family 145
GH146,Glycoside Hydrolase Family 146
GH147,Glycoside Hydrolase Family 147
GH148,Glycoside Hydrolase Family 148
GH149,Glycoside Hydrolase Family 149
GH150,Glycoside Hydrolase Family 150
GH151,Glycoside Hydrolase Family 151
GH152,Glycoside Hydrolase Family 152
GH153,Glycoside Hydrolase Family 153
GH154,Glycoside Hydrolase Family 154
GH155,Glycoside Hydrolase Family 155
GH156,Glycoside Hydrolase Family 156
GH157,Glycoside Hydrolase Family 157
GH158,Glycoside Hydrolase Family 158
GH159,Glycoside Hydrolase Family 159
GH160,Glycoside Hydrolase Family 160
GH161,Glycoside Hydrolase Family 161
GH162,Glycoside Hydrolase Family 162
GH163,Glycoside Hydrolase Family 163
GH164,Glycoside Hydrolase Family 164
GH165,Glycoside Hydrolase Family 165
GH166,Glycoside Hydrolase Family 166
GH167,Glycoside Hydrolase Family 167
GT1,GlycosylTransferase Family 1
GT2,GlycosylTransferase Family 2
GT3,GlycosylTransferase Family 3
GT4,GlycosylTransferase Family 4
GT5,GlycosylTransferase Family 5
GT6,GlycosylTransferase Family 6
GT7,GlycosylTransferase Family 7
GT8,GlycosylTransferase Family 8
GT9,GlycosylTransferase Family 9
GT10,GlycosylTransferase Family 10
GT11,GlycosylTransferase Family 11
GT12,GlycosylTransferase Family 12
GT13,GlycosylTransferase Family 13
GT14,GlycosylTransferase Family 14
GT15,GlycosylTransferase Family 15
GT16,GlycosylTransferase Family 16
GT17,GlycosylTransferase Family 17
GT18,GlycosylTransferase Family 18
GT19,GlycosylTransferase Family 19
GT20,GlycosylTransferase Family 20
GT21,GlycosylTransferase Family 21
GT22,GlycosylTransferase Family 22
GT23,GlycosylTransferase Family 23
GT24,GlycosylTransferase Family 24
GT25,GlycosylTransferase Family 25
GT26,GlycosylTransferase Family 26
GT27,GlycosylTransferase Family 27
GT28,GlycosylTransferase Family 28
GT29,GlycosylTransferase Family 29
GT30,GlycosylTransferase Family 30
GT31,GlycosylTransferase Family 31
GT32,GlycosylTransferase Family 32
GT33,GlycosylTransferase Family 33
GT34,GlycosylTransferase Family 34
GT35,GlycosylTransferase Family 35
GT36,GlycosylTransferase Family 36
GT37,GlycosylTransferase Family 37
GT38,GlycosylTransferase Family 38
GT39,GlycosylTransferase Family 39
GT40,GlycosylTransferase Family 40
GT41,GlycosylTransferase Family 41
GT42,GlycosylTransferase Family 42
GT43,GlycosylTransferase Family 43
GT44,GlycosylTransferase Family 44
GT45,GlycosylTransferase Family 45
GT46,GlycosylTransferase Family 46
GT47,GlycosylTransferase Family 47
GT48,GlycosylTransferase Family 48
GT49,GlycosylTransferase Family 49
GT50,GlycosylTransferase Family 50
GT51,GlycosylTransferase Family 51
GT52,GlycosylTransferase Family 52
GT53,GlycosylTransferase Family 53
GT54,GlycosylTransferase Family 54
GT55,GlycosylTransferase Family 55
GT56,GlycosylTransferase Family 56
GT57,GlycosylTransferase Family 57
GT58,GlycosylTransferase Family 58
GT59,GlycosylTransferase Family 59
GT60,GlycosylTransferase Family 60
GT61,GlycosylTransferase Family 61
GT62,GlycosylTransferase Family 62
GT63,GlycosylTransferase Family 63
GT64,GlycosylTransferase Family 64
GT65,GlycosylTransferase Family 65
GT66,GlycosylTransferase Family 66
GT67,GlycosylTransferase Family 67
GT68,GlycosylTransferase Family 68
GT69,GlycosylTransferase Family 69
GT70,GlycosylTransferase Family 70
GT71,GlycosylTransferase Family 71
GT72,GlycosylTransferase Family 72
GT73,GlycosylTransferase Family 73
GT74,GlycosylTransferase Family 74
GT75,GlycosylTransferase Family 75
GT76,GlycosylTransferase Family 76
GT77,GlycosylTransferase Family 77
GT78,GlycosylTransferase Family 78
GT79,GlycosylTransferase Family 79
GT80,GlycosylTransferase Family 80
GT81,GlycosylTransferase Family 81
GT82,GlycosylTransferase Family 82
GT83,GlycosylTransferase Family 83
GT84,GlycosylTransferase Family 84
GT85,GlycosylTransferase Family 85
GT86,GlycosylTransferase Family 86
GT87,GlycosylTransferase Family 87
GT88,GlycosylTransferase Family 88
GT89,GlycosylTransferase Family 89
GT90,GlycosylTransferase Family 90
GT91,GlycosylTransferase Family 91
GT92,GlycosylTransferase Family 92
GT93,GlycosylTransferase Family 93
GT94,GlycosylTransferase Family 94
GT95,GlycosylTransferase Family 95
GT96,GlycosylTransferase Family 96
GT97,GlycosylTransferase Family 97
GT98,GlycosylTransferase Family 98
GT99,GlycosylTransferase Family 99
GT100,GlycosylTransferase Family 100
GT101,GlycosylTransferase Family 101
GT102,GlycosylTransferase Family 102
GT103,GlycosylTransferase Family 103
GT104,GlycosylTransferase Family 104
GT105,GlycosylTransferase Family 105
GT106,GlycosylTransferase Family 106
GT107,GlycosylTransferase Family 107
GT108,GlycosylTransferase Family 108
GT109,GlycosylTransferase Family 109
GT110,GlycosylTransferase Family 110
GT111,GlycosylTransferase Family 111
PL1,Polysaccharide Lyase Family 1
PL2,Polysaccharide Lyase Family 2
PL3,Polysaccharide Lyase Family 3
PL4,Polysaccharide Lyase Family 4
PL5,Polysaccharide Lyase Family 5
PL6,Polysaccharide Lyase Family 6
PL7,Polysaccharide Lyase Family 7
PL8,Polysaccharide Lyase Family 8
PL9,Polysaccharide Lyase Family 9
PL10,Polysaccharide Lyase Family 10
PL11,Polysaccharide Lyase Family 11
PL12,Polysaccharide Lyase Family 12
PL13,Polysaccharide Lyase Family 13
PL14,Polysaccharide Lyase Family 14
PL15,Polysaccharide Lyase Family 15
PL16,Polysaccharide Lyase Family 16
PL17,Polysaccharide Lyase Family 17
PL18,Polysaccharide Lyase Family 18
PL19,Polysaccharide Lyase Family 19
PL20,Polysaccharide Lyase Family 20
PL21,Polysaccharide Lyase Family 21
PL22,Polysaccharide Lyase Family 22
PL23,Polysaccharide Lyase Family 23
PL24,Polysaccharide Lyase Family 24
PL25,Polysaccharide Lyase Family 25
PL26,Polysaccharide Lyase Family 26
PL27,Polysaccharide Lyase Family 27
PL28,Polysaccharide Lyase Family 28
PL29,Polysaccharide Lyase Family 29
PL30,Polysaccharide Lyase Family 30
PL31,Polysaccharide Lyase Family 31
PL32,Polysaccharide Lyase Family 32
PL33,Polysaccharide Lyase Family 33
PL34,Polysaccharide Lyase Family 34
PL35,Polysaccharide Lyase Family 35
PL36,Polysaccharide Lyase Family 36
PL37,Polysaccharide Lyase Family 37
PL38,Polysaccharide Lyase Family 38
PL39,Polysaccharide Lyase Family 39
PL40,Polysaccharide Lyase Family 40
CE1,Carbohydrate Esterase Family 1
CE2,Carbohydrate Esterase Family 2
CE3,Carbohydrate Esterase Family 3
CE4,Carbohydrate Esterase Family 4
CE5,Carbohydrate Esterase Family 5
CE6,Carbohydrate Esterase Family 6
CE7,Carbohydrate Esterase Family 7
CE8,Carbohydrate Esterase Family 8
CE9,Carbohydrate Esterase Family 9
CE10,Carbohydrate Esterase Family 10
CE11,Carbohydrate Esterase Family 11
CE12,Carbohydrate Esterase Family 12
CE13,Carbohydrate Esterase Family 13
CE14,Carbohydrate Esterase Family 14
CE15,Carbohydrate Esterase Family 15
CE16,Carbohydrate Esterase Family 16
CE17,Carbohydrate Esterase Family 17
CE18,Carbohydrate Esterase Family 18
AA1,Auxiliary Activity Family 1
AA2,Auxiliary Activity Family 2
AA3,Auxiliary Activity Family 3
AA4,Auxiliary Activity Family 4
AA5,Auxiliary Activity Family 5
AA6,Auxiliary Activity Family 6
AA7,Auxiliary Activity Family 7
AA8,Auxiliary Activity Family 8
AA9,Auxiliary Activity Family 9
AA10,Auxiliary Activity Family 10
AA11,Auxiliary Activity Family 11
AA12,Auxiliary Activity Family 12
AA13,Auxiliary Activity Family 13
AA14,Auxiliary Activity Family 14
AA15,Auxiliary Activity Family 15
AA16,Auxiliary Activity Family 16
CBM1,Carbohydrate-Binding Module Family 1
CBM2,Carbohydrate-Binding Module Family 2
CBM3,Carbohydrate-Binding Module Family 3
CBM4,Carbohydrate-Binding Module Family 4
CBM5,Carbohydrate-Binding Module Family 5
CBM6,Carbohydrate-Binding Module Family 6
CBM7,Carbohydrate-Binding Module Family 7
CBM8,Carbohydrate-Binding Module Family 8
CBM9,Carbohydrate-Binding Module Family 9
CBM10,Carbohydrate-Binding Module Family 10
CBM11,Carbohydrate-Binding Module Family 11
CBM12,Carbohydrate-Binding Module Family 12
CBM13,Carbohydrate-Binding Module Family 13
CBM14,Carbohydrate-Binding Module Family 14
CBM15,Carbohydrate-Binding Module Family 15
CBM16,Carbohydrate-Binding Module Family 16
CBM17,Carbohydrate-Binding Module Family 17
CBM18,Carbohydrate-Binding Module Family 18
CBM19,Carbohydrate-Binding Module Family 19
CBM20,Carbohydrate-Binding Module Family 20
CBM21,Carbohydrate-Binding Module Family 21
CBM22,Carbohydrate-Binding Module Family 22
CBM23,Carbohydrate-Binding Module Family 23
CBM24,Carbohydrate-Binding Module Family 24
CBM25,Carbohydrate-Binding Module Family 25
CBM26,Carbohydrate-Binding Module Family 26
CBM27,Carbohydrate-Binding Module Family 27
CBM28,Carbohydrate-Binding Module Family 28
CBM29,Carbohydrate-Binding Module Family 29
CBM30,Carbohydrate-Binding Module Family 30
CBM31,Carbohydrate-Binding Module Family 31
CBM32,Carbohydrate-Binding Module Family 32
CBM33,Carbohydrate-Binding Module Family 33
CBM34,Carbohydrate-Binding Module Family 34
CBM35,Carbohydrate-Binding Module Family 35
CBM36,Carbohydrate-Binding Module Family 36
CBM37,Carbohydrate-Binding Module Family 37
CBM38,Carbohydrate-Binding Module Family 38
CBM39,Carbohydrate-Binding Module Family 39
CBM40,Carbohydrate-Binding Module Family 40
CBM41,Carbohydrate-Binding Module Family 41
CBM42,Carbohydrate-Binding Module Family 42
CBM43,Carbohydrate-Binding Module Family 43
CBM44,Carbohydrate-Binding Module Family 44
CBM45,Carbohydrate-Binding Module Family 45
CBM46,Carbohydrate-Binding Module Family 46
CBM47,Carbohydrate-Binding Module Family 47
CBM48,Carbohydrate-Binding Module Family 48
CBM49,Carbohydrate-Binding Module Family 49
CBM50,Carbohydrate-Binding Module Family 50
CBM51,Carbohydrate-Binding Module Family 51
CBM52,Carbohydrate-Binding Module Family 52
CBM53,Carbohydrate-Binding Module Family 53
CBM54,Carbohydrate-Binding Module Family 54
CBM55,Carbohydrate-Binding Module Family 55
CBM56,Carbohydrate-Binding Module Family 56
CBM57,Carbohydrate-Binding Module Family 57
CBM58,Carbohydrate-Binding Module Family 58
CBM59,Carbohydrate-Binding Module Family 59
CBM60,Carbohydrate-Binding Module Family 60
CBM61,Carbohydrate-Binding Module Family 61
CBM62,Carbohydrate-Binding Module Family 62
CBM63,Carbohydrate-Binding Module Family 63
CBM64,Carbohydrate-Binding Module Family 64
CBM65,Carbohydrate-Binding Module Family 65
CBM66,Carbohydrate-Binding Module Family 66
CBM67,Carbohydrate-Binding Module Family 67
CBM68,Carbohydrate-Binding Module Family 68
CBM69,Carbohydrate-Binding Module Family 69
CBM70,Carbohydrate-Binding Module Family 70
CBM71,Carbohydrate-Binding Module Family 71
CBM72,Carbohydrate-Binding Module Family 72
CBM73,Carbohydrate-Binding Module Family 73
CBM74,Carbohydrate-Binding Module Family 74
CBM75,Carbohydrate-Binding Module Family 75
CBM76,Carbohydrate-Binding Module Family 76
CBM77,Carbohydrate-Binding Module Family 77
CBM78,Carbohydrate-Binding Module Family 78
CBM79,Carbohydrate-Binding Module Family 79
CBM80,Carbohydrate-Binding Module Family 80
CBM81,Carbohydrate-Binding Module Family 81
CBM82,Carbohydrate-Binding Module Family 82
CBM83,Carbohydrate-Binding Module Family 83
CBM84,Carbohydrate-Binding Module Family 84
CBM85,Carbohydrate-Binding Module Family 85
CBM86,Carbohydrate-Binding Module Family 86
CBM87,Carbohydrate-Binding Module Family 87
PLNC,Polysaccharide Lyase Family NC
CBMNC,Carbohydrate-Binding Module Family NC